go_id	ontology	term_name	selection_role	matched_query_ids	matched_query_strings	source_seed_ids	source_seed_names	in_core_branch	in_downstream_branch	is_anchor	n_human_annotated	n_in_deposited_matrix	n_in_filtered_matrix
GO:0032701	BP	negative regulation of interleukin-18 production	seed	interleukin_18_production	interleukin-18 production	GO:0032621; GO:0032661; GO:0032701	interleukin-18 production; negative regulation of interleukin-18 production; regulation of interleukin-18 production	FALSE	TRUE	FALSE	4	1	1
GO:1900226	BP	negative regulation of NLRP3 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0044546; GO:0140632; GO:0141084; GO:0141085; GO:0141086; GO:1900225; GO:1900226	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; negative regulation of inflammasome-mediated signaling pathway; negative regulation of NLRP3 inflammasome complex assembly; NLRP3 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway; regulation of NLRP3 inflammasome complex assembly	TRUE	FALSE	FALSE	16	13	13
GO:0160076	BP	negative regulation of non-canonical inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0141084; GO:0141085; GO:0141086; GO:0160075; GO:0160076	inflammasome-mediated signaling pathway; negative regulation of inflammasome-mediated signaling pathway; negative regulation of non-canonical inflammasome complex assembly; non-canonical inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	1	1	1
GO:0160028	BP	negative regulation of pyroptotic inflammatory response	seed	pyroptotic	pyroptotic	GO:0070269; GO:0160028	negative regulation of pyroptotic inflammatory response; pyroptotic inflammatory response	TRUE	FALSE	FALSE	1	0	0
GO:1904784	BP	NLRP1 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140632; GO:0141084; GO:1904784	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; NLRP1 inflammasome complex assembly	TRUE	FALSE	FALSE	1	1	1
GO:0044546	BP	NLRP3 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0044546; GO:0140632; GO:0141084	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; NLRP3 inflammasome complex assembly	TRUE	FALSE	FALSE	6	6	6
GO:0140739	BP	NLRP6 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140632; GO:0140739; GO:0141084	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; NLRP6 inflammasome complex assembly	TRUE	FALSE	FALSE	1	0	0
GO:0160075	BP	non-canonical inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0160075	non-canonical inflammasome complex assembly	TRUE	FALSE	FALSE	4	3	3
GO:0140973	BP	positive regulation of AIM2 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140970; GO:0140971; GO:0140973; GO:0141084; GO:0141085; GO:0141087	AIM2 inflammasome complex assembly; inflammasome-mediated signaling pathway; positive regulation of AIM2 inflammasome complex assembly; positive regulation of inflammasome-mediated signaling pathway; regulation of AIM2 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	2	2	2
GO:0141087	BP	positive regulation of inflammasome-mediated signaling pathway	seed	inflammasome	inflammasome	GO:0141084; GO:0141085; GO:0141087	inflammasome-mediated signaling pathway; positive regulation of inflammasome-mediated signaling pathway; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	0	0	0
GO:0032731	BP	positive regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032731	interleukin-1 beta production; positive regulation of interleukin-1 beta production; regulation of interleukin-1 beta production	FALSE	TRUE	FALSE	63	52	52
GO:0032741	BP	positive regulation of interleukin-18 production	seed	interleukin_18_production	interleukin-18 production	GO:0032621; GO:0032661; GO:0032741	interleukin-18 production; positive regulation of interleukin-18 production; regulation of interleukin-18 production	FALSE	TRUE	FALSE	8	6	6
GO:1900227	BP	positive regulation of NLRP3 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0044546; GO:0140632; GO:0141084; GO:0141085; GO:0141087; GO:1900225; GO:1900227	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; NLRP3 inflammasome complex assembly; positive regulation of inflammasome-mediated signaling pathway; positive regulation of NLRP3 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway; regulation of NLRP3 inflammasome complex assembly	TRUE	FALSE	FALSE	29	27	27
GO:0140639	BP	positive regulation of pyroptotic inflammatory response	seed	pyroptotic	pyroptotic	GO:0070269; GO:0140639	positive regulation of pyroptotic inflammatory response; pyroptotic inflammatory response	TRUE	FALSE	FALSE	9	9	9
GO:0141201	BP	pyroptotic cell death	seed	pyroptotic	pyroptotic	GO:0070269; GO:0141201	pyroptotic cell death; pyroptotic inflammatory response	TRUE	FALSE	FALSE	3	3	3
GO:0070269	BP	pyroptotic inflammatory response	seed	pyroptotic	pyroptotic	GO:0070269	pyroptotic inflammatory response	TRUE	FALSE	FALSE	32	24	24
GO:0140971	BP	regulation of AIM2 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140970; GO:0140971; GO:0141084; GO:0141085	AIM2 inflammasome complex assembly; inflammasome-mediated signaling pathway; regulation of AIM2 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	0	0	0
GO:0141085	BP	regulation of inflammasome-mediated signaling pathway	seed	inflammasome	inflammasome	GO:0141084; GO:0141085	inflammasome-mediated signaling pathway; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	0	0	0
GO:0032651	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	interleukin-1 beta production; regulation of interleukin-1 beta production	FALSE	TRUE	FALSE	12	9	9
GO:0032661	BP	regulation of interleukin-18 production	seed	interleukin_18_production	interleukin-18 production	GO:0032621; GO:0032661	interleukin-18 production; regulation of interleukin-18 production	FALSE	TRUE	FALSE	1	1	1
GO:1900225	BP	regulation of NLRP3 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0044546; GO:0140632; GO:0141084; GO:0141085; GO:1900225	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway; NLRP3 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway; regulation of NLRP3 inflammasome complex assembly	TRUE	FALSE	FALSE	2	1	1
GO:0141079	BP	symbiont-mediated activation of host inflammasome-mediated signal transduction	seed	inflammasome	inflammasome	GO:0141079	symbiont-mediated activation of host inflammasome-mediated signal transduction	TRUE	FALSE	FALSE	0	0	0
GO:0141081	BP	symbiont-mediated suppression of host inflammasome-mediated signal transduction	seed	inflammasome	inflammasome	GO:0141081	symbiont-mediated suppression of host inflammasome-mediated signal transduction	TRUE	FALSE	FALSE	0	0	0
GO:0097169	CC	AIM2 inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0097169	AIM2 inflammasome complex; canonical inflammasome complex	TRUE	FALSE	TRUE	3	3	3
GO:0061702	CC	canonical inflammasome complex	seed	inflammasome	inflammasome	GO:0061702	canonical inflammasome complex	TRUE	FALSE	TRUE	12	10	10
GO:0140634	CC	CARD8 inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0140634	canonical inflammasome complex; CARD8 inflammasome complex	TRUE	FALSE	FALSE	1	1	1
GO:0072557	CC	IPAF inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0072557	canonical inflammasome complex; IPAF inflammasome complex	TRUE	FALSE	FALSE	3	3	3
GO:0072558	CC	NLRP1 inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0072558	canonical inflammasome complex; NLRP1 inflammasome complex	TRUE	FALSE	TRUE	6	4	4
GO:0072559	CC	NLRP3 inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0072559	canonical inflammasome complex; NLRP3 inflammasome complex	TRUE	FALSE	TRUE	8	8	8
GO:0140738	CC	NLRP6 inflammasome complex	seed	inflammasome	inflammasome	GO:0061702; GO:0140738	canonical inflammasome complex; NLRP6 inflammasome complex	TRUE	FALSE	FALSE	2	1	1
GO:0160074	CC	non-canonical inflammasome complex	seed	inflammasome	inflammasome	GO:0160074	non-canonical inflammasome complex	TRUE	FALSE	FALSE	1	1	1
